package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
ace-cli,0,,,,,,,,,axe-cli,10211,,
cache-lru,1083,,,,,,,lrucache,83790,,,,
redux-local-storage,6,,,redux-localstorage,37736,,,,,redux-localstorage,37736,,
abuffer,1,,,buffer,13702805,,,,,,,,
hash-require,1,,,has-require,42471,,,,,,,,
brequire,5,,,require,10962,,,,,,,,
svg-injector-2,1228,,,,,,,,,,,svg-injector,10330
gyr,1,,,,,gry,13762,,,,,,
spawnx,29,,,,,,,,,spawnd,113683,,
express-whs,0,,,express-ws,33818,,,,,,,,
o3,1543,,,,,,,,,ow,153741,,
jii,7,,,,,,,,,joi,2013711,,
dib,0,,,,,idb,430294,,,,,,
volt,2,,,,,,,,,bolt,30624,,
imoment,0,,,moment,11132470,,,,,,,,
lock-async,1,,,,,,,async-lock,147618,,,,
calendar-js,128,,,,,,,js-calendar,10365,,,,
module-parent,2933,,,,,,,parent-module,6783211,,,,
zoib,2,,,,,,,,,zlib,91598,,
sass-bootstrap,62,,,,,,,bootstrap-sass,266494,,,,
sweb3-eth-accounts,1,,,web3-eth-accounts,103431,,,,,,,,
zbencode,2,,,bencode,14718,,,,,,,,
proxy-http,0,,,,,,,http-proxy,7249510,,,,
s-creditcard,10,,,,,,,creditcards,12986,,,,
bbootstrap,2,,,bootstrap,2223896,,,,,,,,
vsf,2,,,,,,,,,vdf,10315,,
lscroll,0,,,scroll,88587,,,,,iscroll,15424,,
blom,0,,,,,,,,,boom,3409717,,
lodium,1,,,,,,,,,podium,144031,,
chr-mock,0,,,,,,,,,xhr-mock,66304,,
test2,13,,,,,,,,,,,test,17951
serialize-form,5,,,,,,,form-serialize,44040,,,,
nootstrap,1,,,,,,,,,bootstrap,2223896,,
isomorphic-fetch2,3,,,isomorphic-fetch,4259959,,,,,,,isomorphic-fetch,4259959
passport-koa,13,,,,,,,koa-passport,17924,,,,
rsa,14,,,,,,,,,rss,48256,,
gury,0,,,,,,,,,fury,13423,,
restt,18,rest,17822,,,,,,,,,,
csw,1,,,,,,,,,caw,1533180,,
js-dom,132,,,,,,,jsdom,9267177,is-dom,1237787,,
error2,0,,,,,,,,,,,error,799824
express4,4,,,express,11714875,,,,,,,express,11714875
react-native-html-view,1,,,react-native-htmlview,17721,,,,,react-native-htmlview,17721,,
typed-array,2,,,typedarray,10663268,,,typedarray,10663268,typedarray,10663268,,
tup,2,,,,,,,,,yup,1176230,,
scrowll,1,,,scroll,88587,,,,,,,,
